Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR579139_1	(1.0, 26.73650790930347)	(2.0, 11.892912872963409)	(3.0, 6.5754179190488395)	(4.0, 4.553330094887767)	(5.0, 3.251951926821846)	(6.0, 2.5378008289621037)	(7.0, 2.045401265679419)	(8.0, 1.6017136902428402)	(9.0, 1.4478244766441621)	('>10', 15.247908908377955)	('>50', 4.589388400128426)	('>100', 10.007517132477606)	('>500', 3.5157381436241684)	('>1k', 4.501282767545903)	('>5k', 0.7608019623048956)	('>10k+', 0.7345017009871466)
ERR579139_2	(1.0, 28.92502113704674)	(2.0, 11.998350292141275)	(3.0, 6.78626140293102)	(4.0, 4.530805534659558)	(5.0, 3.2353341356963115)	(6.0, 2.586282758539751)	(7.0, 1.9099739310529353)	(8.0, 1.5523625973227277)	(9.0, 1.3502118731943138)	('>10', 13.649834377097472)	('>50', 4.397669228992496)	('>100', 10.053926666274078)	('>500', 3.516317705319317)	('>1k', 4.55720787612175)	('>5k', 0.6470848829207254)	('>10k+', 0.30335560068963935)
ERR579140_1	(1.0, 25.18709957017982)	(2.0, 11.379493313235654)	(3.0, 6.805726232351135)	(4.0, 4.60352132054575)	(5.0, 3.428090384456521)	(6.0, 2.796041865774802)	(7.0, 2.2343215450042604)	(8.0, 1.8206492077103904)	(9.0, 1.5555772005446147)	('>10', 17.59770326484468)	('>50', 4.76726537317782)	('>100', 8.676511776992148)	('>500', 2.9967053337311556)	('>1k', 5.040643683646195)	('>5k', 0.8560509194339434)	('>10k+', 0.25459900837116456)
ERR579140_2	(1.0, 27.94310367014663)	(2.0, 11.523030304146463)	(3.0, 6.807024922194977)	(4.0, 4.84342874287203)	(5.0, 3.5349447671980205)	(6.0, 2.664961903869281)	(7.0, 2.11539880974845)	(8.0, 1.8481002131652169)	(9.0, 1.559988740353953)	('>10', 15.872371564217472)	('>50', 4.181510336778313)	('>100', 7.99853408149901)	('>500', 3.001592874125873)	('>1k', 5.114528838307335)	('>5k', 0.5523227260956707)	('>10k+', 0.43915750528126934)
ERR579141_1	(1.0, 29.99116130972883)	(2.0, 6.977450506629197)	(3.0, 3.6513356748952894)	(4.0, 2.4490360370670943)	(5.0, 1.760581666649979)	(6.0, 1.4453808952182212)	(7.0, 1.2037162727422395)	(8.0, 1.0324498805691011)	(9.0, 0.8928958258318758)	('>10', 14.790776436438517)	('>50', 7.506268774020169)	('>100', 17.505733449041696)	('>500', 5.098996067061875)	('>1k', 4.380320530836741)	('>5k', 0.31400072603537776)	('>10k+', 0.9998959472338704)
ERR579141_2	(1.0, 32.24419450618719)	(2.0, 6.874201264248347)	(3.0, 3.543173776583157)	(4.0, 2.359915845687229)	(5.0, 1.6871498117776809)	(6.0, 1.4012083956882335)	(7.0, 1.1455722804544748)	(8.0, 1.0054835034656022)	(9.0, 0.8888829618560452)	('>10', 14.46854549006797)	('>50', 7.386628463835914)	('>100', 17.008652989751543)	('>500', 4.99453317350061)	('>1k', 4.2926619359733)	('>5k', 0.3441168953245212)	('>10k+', 0.35507870559825394)
ERR579142_1	(1.0, 20.01251595689556)	(2.0, 4.11742520498218)	(3.0, 2.0922501939228324)	(4.0, 1.345007763761793)	(5.0, 1.0348556642544668)	(6.0, 0.8108818052381059)	(7.0, 0.7013360499753702)	(8.0, 0.5993452855604592)	(9.0, 0.5354164128795577)	('>10', 8.833998215348622)	('>50', 4.337567899833209)	('>100', 10.267722746687506)	('>500', 3.451922686818308)	('>1k', 4.19778095961626)	('>5k', 1.0454017299605105)	('>10k+', 36.61657142426524)
ERR579142_2	(1.0, 44.36606239229114)	(2.0, 4.578172765793418)	(3.0, 2.291961503422575)	(4.0, 1.43276556002472)	(5.0, 1.0760349492941468)	(6.0, 0.8107209872810432)	(7.0, 0.6760993769991603)	(8.0, 0.5750556622101463)	(9.0, 0.4910676380928435)	('>10', 7.963960199095005)	('>50', 3.9144881253134938)	('>100', 9.694481372161885)	('>500', 3.3315360016639497)	('>1k', 4.031340036350739)	('>5k', 0.9207927441817908)	('>10k+', 13.845460685823804)
ERR579143_1	(1.0, 27.15304097224936)	(2.0, 4.54942313529863)	(3.0, 2.3251604538567276)	(4.0, 1.5452200951777768)	(5.0, 1.2262817400528538)	(6.0, 0.9414875124486897)	(7.0, 0.8237814084386736)	(8.0, 0.7255062929977572)	(9.0, 0.6049957663755685)	('>10', 11.10354987362495)	('>50', 5.162807810476973)	('>100', 10.301048502479517)	('>500', 2.8047577317097425)	('>1k', 2.84949159455495)	('>5k', 1.35871359090768)	('>10k+', 26.524733519350136)
ERR579143_2	(1.0, 59.06244136916744)	(2.0, 3.7846483539676434)	(3.0, 1.85014956932192)	(4.0, 1.2380819509165621)	(5.0, 0.8971557911892978)	(6.0, 0.7335669016654863)	(7.0, 0.5762318439871292)	(8.0, 0.5546322399837931)	(9.0, 0.4643820666327287)	('>10', 8.239366917599973)	('>50', 3.9742199299434766)	('>100', 8.338662629225476)	('>500', 2.0350411250331013)	('>1k', 1.6038690379877314)	('>5k', 0.43402556213716825)	('>10k+', 6.213524711241112)
