Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10898057_2	SRR10898057_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30875672.0	4.6 Gbp	0.0	151.0	47.0	75.15679083321834	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898058_1	SRR10898058_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30523687.0	4.6 Gbp	0.0	151.0	45.0	77.405282291668	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898058_2	SRR10898058_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30523687.0	4.6 Gbp	0.0	151.0	46.0	79.40995884598566	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898059_1	SRR10898059_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28313710.0	4.2 Gbp	0.0	151.0	50.0	66.42707686373167	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898059_2	SRR10898059_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28313710.0	4.2 Gbp	0.0	151.0	50.0	69.73755997986949	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898060_1	SRR10898060_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27921827.0	4.2 Gbp	0.0	151.0	44.0	87.46408326815032	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898060_2	SRR10898060_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27921827.0	4.2 Gbp	0.0	151.0	44.0	89.02625956442724	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898061_1	SRR10898061_1.fastq	Conventional base calls	Sanger / Illumina 1.9	26422592.0	3.9 Gbp	0.0	151.0	42.0	87.17030420389878	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898061_2	SRR10898061_2.fastq	Conventional base calls	Sanger / Illumina 1.9	26422592.0	3.9 Gbp	0.0	151.0	42.0	88.65601911471845	151.0	151	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
SRR10898063_1	SRR10898063_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31882254.0	4.8 Gbp	0.0	151.0	48.0	72.06047691602542	151.0	151	pass	pass	pass	fail	fail	pass	pass	pass	pass	fail
SRR10898063_2	SRR10898063_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31882254.0	4.8 Gbp	0.0	151.0	48.0	74.4756272462419	151.0	151	pass	pass	pass	warn	fail	pass	pass	pass	pass	fail
SRR10898064_1	SRR10898064_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33338864.0	5 Gbp	0.0	151.0	47.0	68.40430635998655	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898064_2	SRR10898064_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33338864.0	5 Gbp	0.0	151.0	47.0	71.62947522577215	151.0	151	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
SRR10898065_1	SRR10898065_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28256988.0	4.2 Gbp	0.0	151.0	49.0	65.45131894757253	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898065_2	SRR10898065_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28256988.0	4.2 Gbp	0.0	151.0	49.0	68.75616371379442	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898066_1	SRR10898066_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29617685.0	4.4 Gbp	0.0	151.0	49.0	69.55575715177847	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898066_2	SRR10898066_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29617685.0	4.4 Gbp	0.0	151.0	49.0	71.92013774007715	151.0	151	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
SRR10898067_1	SRR10898067_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29754612.0	4.4 Gbp	0.0	151.0	46.0	73.86953333353252	151.0	151	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
SRR10898067_2	SRR10898067_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29754612.0	4.4 Gbp	0.0	151.0	47.0	76.08218672886274	151.0	151	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
SRR10898068_1	SRR10898068_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31057962.0	4.6 Gbp	0.0	151.0	49.0	68.36016007262563	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898068_2	SRR10898068_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31057962.0	4.6 Gbp	0.0	151.0	49.0	70.96428226773376	151.0	151	pass	pass	pass	warn	fail	pass	pass	pass	warn	fail
