Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10898057_1	(1.0, 65.01264701249802)	(2.0, 11.146816379509442)	(3.0, 2.8340321827610775)	(4.0, 1.3077870410479338)	(5.0, 0.8768536264916407)	(6.0, 0.6150163988121276)	(7.0, 0.4525824230369369)	(8.0, 0.42827391008250254)	(9.0, 0.37775775195023525)	('>10', 4.5834281929672125)	('>50', 1.3198747583598511)	('>100', 3.170319447401402)	('>500', 1.804754630376863)	('>1k', 4.08333720048699)	('>5k', 1.1132255097820174)	('>10k+', 0.8732935344359325)
SRR10898057_2	(1.0, 68.16526741627031)	(2.0, 10.28912282837716)	(3.0, 2.561072959674462)	(4.0, 1.2205754322874427)	(5.0, 0.8211416294698068)	(6.0, 0.5697337781420717)	(7.0, 0.49259486357536375)	(8.0, 0.39347089173780836)	(9.0, 0.33746804359871263)	('>10', 4.382238177443516)	('>50', 1.207749421433177)	('>100', 2.960176817695303)	('>500', 1.6425667808649906)	('>1k', 3.547160270978182)	('>5k', 0.9746924481787143)	('>10k+', 0.4349682402729497)
SRR10898058_1	(1.0, 70.04251807377035)	(2.0, 11.411087632460442)	(3.0, 2.754281705759491)	(4.0, 1.0820987599880707)	(5.0, 0.6432845495251881)	(6.0, 0.3915803337025422)	(7.0, 0.3421930792765676)	(8.0, 0.2803133332008286)	(9.0, 0.20207870895933003)	('>10', 2.603003307116562)	('>50', 1.021022289442612)	('>100', 2.8449173955171743)	('>500', 1.6669195243625294)	('>1k', 3.5250189028813583)	('>5k', 0.820819575359351)	('>10k+', 0.3688628286775835)
SRR10898058_2	(1.0, 72.6509792648638)	(2.0, 10.462523056663658)	(3.0, 2.519417948989599)	(4.0, 0.9733163816952809)	(5.0, 0.5840943280466481)	(6.0, 0.3802519841767714)	(7.0, 0.31601673920673395)	(8.0, 0.22381076766449978)	(9.0, 0.20696715099530824)	('>10', 2.6539907281586235)	('>50', 0.9418986537445863)	('>100', 2.6733366289815677)	('>500', 1.5409075121165332)	('>1k', 3.08656591241466)	('>5k', 0.5556905690265193)	('>10k+', 0.23023237325515694)
SRR10898059_1	(1.0, 58.31736294158149)	(2.0, 12.60907852370895)	(3.0, 3.0730889480533676)	(4.0, 1.1106392195842705)	(5.0, 0.6050229799584299)	(6.0, 0.4110414677326939)	(7.0, 0.33330272020060786)	(8.0, 0.3074706550278218)	(9.0, 0.22401857329399935)	('>10', 3.127939005988238)	('>50', 1.24098177037063)	('>100', 3.539028785011139)	('>500', 1.7203656897808128)	('>1k', 4.789973309381819)	('>5k', 2.2299863015182315)	('>10k+', 6.360699108807499)
SRR10898059_2	(1.0, 62.47201610332298)	(2.0, 11.332107408529076)	(3.0, 2.6434356698002426)	(4.0, 0.9893800534489879)	(5.0, 0.525366211204595)	(6.0, 0.3798020989519719)	(7.0, 0.3158623949381736)	(8.0, 0.23937309122211833)	(9.0, 0.22845850417101687)	('>10', 3.153435996328459)	('>50', 1.2596780784790496)	('>100', 3.3973345758588893)	('>500', 1.5931528445921206)	('>1k', 4.26428396894815)	('>5k', 1.747841094429713)	('>10k+', 5.458471905774341)
SRR10898060_1	(1.0, 81.99276895913857)	(2.0, 9.21052261807422)	(3.0, 1.4114891260866231)	(4.0, 0.470740434934688)	(5.0, 0.3219752294879333)	(6.0, 0.25057435040204096)	(7.0, 0.1966906115287595)	(8.0, 0.16141551873164983)	(9.0, 0.14584838144200085)	('>10', 1.6962408513087297)	('>50', 0.6735088357525677)	('>100', 1.5061964213538197)	('>500', 0.6730728465108129)	('>1k', 1.0623172340208829)	('>5k', 0.12009425973065861)	('>10k+', 0.10654432149604291)
SRR10898060_2	(1.0, 84.28231881373702)	(2.0, 7.971703416744548)	(3.0, 1.196699030059998)	(4.0, 0.41149922455004884)	(5.0, 0.28869522376209655)	(6.0, 0.2347622973922731)	(7.0, 0.1716915184770335)	(8.0, 0.15312484749796673)	(9.0, 0.11057822469334926)	('>10', 1.640899883757028)	('>50', 0.5763352644804429)	('>100', 1.4059853469305938)	('>500', 0.5653005727903982)	('>1k', 0.8280375611078197)	('>5k', 0.07016307273298927)	('>10k+', 0.09220570128635151)
SRR10898061_1	(1.0, 81.65304970460595)	(2.0, 9.1909334589339)	(3.0, 1.4769699913890546)	(4.0, 0.5392352156033352)	(5.0, 0.3312914515694451)	(6.0, 0.23513678981592484)	(7.0, 0.21284045274326574)	(8.0, 0.17061439037489787)	(9.0, 0.14710242630043982)	('>10', 1.966317168897633)	('>50', 0.6729540666730508)	('>100', 1.6226816841561988)	('>500', 0.7193409379583708)	('>1k', 0.938645893633705)	('>5k', 0.08286265942864601)	('>10k+', 0.04002370791599842)
SRR10898061_2	(1.0, 83.81409324483049)	(2.0, 7.9825091981352)	(3.0, 1.3230606501295599)	(4.0, 0.48503986345536526)	(5.0, 0.3434737386809497)	(6.0, 0.2350606584881499)	(7.0, 0.21167918941794417)	(8.0, 0.16530006504505776)	(9.0, 0.143678975530739)	('>10', 1.812844397623525)	('>50', 0.6053010957295154)	('>100', 1.4978695669138495)	('>500', 0.5552767852204857)	('>1k', 0.7395662400085731)	('>5k', 0.08524633079067145)	('>10k+', 0.0)
SRR10898063_1	(1.0, 64.4470559538035)	(2.0, 11.486102742160119)	(3.0, 2.981377490794794)	(4.0, 1.2083732842992456)	(5.0, 0.7181032414956947)	(6.0, 0.5097980527089033)	(7.0, 0.3823465709934739)	(8.0, 0.3279193617428784)	(9.0, 0.28341758378244974)	('>10', 3.39968218910647)	('>50', 1.323604909466204)	('>100', 3.676226830519269)	('>500', 2.147204250251969)	('>1k', 5.18475642767392)	('>5k', 1.2167200494714911)	('>10k+', 0.70731106172963)
SRR10898063_2	(1.0, 67.42318378834298)	(2.0, 10.67520155680548)	(3.0, 2.6890083126271707)	(4.0, 1.1352015655644943)	(5.0, 0.6677000937392058)	(6.0, 0.45272772665692324)	(7.0, 0.34572505163017525)	(8.0, 0.30816696693773155)	(9.0, 0.24435942923472187)	('>10', 3.311558004156649)	('>50', 1.24682494009461)	('>100', 3.5262064596939884)	('>500', 2.051525819636823)	('>1k', 4.534120340713618)	('>5k', 0.9129751649007574)	('>10k+', 0.47551477926461094)
SRR10898064_1	(1.0, 58.97178228601153)	(2.0, 14.345690550395208)	(3.0, 3.9607463988554894)	(4.0, 1.4985446731334426)	(5.0, 0.7750342272309226)	(6.0, 0.5217541539484222)	(7.0, 0.3826388324914537)	(8.0, 0.3082576377972404)	(9.0, 0.24524934911697382)	('>10', 3.1409835901834784)	('>50', 1.1362602386181713)	('>100', 2.9995865788648794)	('>500', 1.419084387917153)	('>1k', 4.448171596284252)	('>5k', 2.2400304896306666)	('>10k+', 3.606185009520726)
SRR10898064_2	(1.0, 63.183683449339036)	(2.0, 12.915163500627838)	(3.0, 3.417939595328966)	(4.0, 1.2945744006164557)	(5.0, 0.6950199257097542)	(6.0, 0.45146090677074424)	(7.0, 0.34962772749935317)	(8.0, 0.2920142609401896)	(9.0, 0.2533362140120747)	('>10', 3.07452262831408)	('>50', 1.1022805332996957)	('>100', 2.872134638951182)	('>500', 1.3957022296797394)	('>1k', 3.9893781694895907)	('>5k', 1.8849575271200485)	('>10k+', 2.8282042923013706)
SRR10898065_1	(1.0, 56.414757397398674)	(2.0, 13.941069810332756)	(3.0, 3.6433332508387104)	(4.0, 1.272159800161453)	(5.0, 0.6698042897279926)	(6.0, 0.4411443784208876)	(7.0, 0.35800107748889165)	(8.0, 0.2797133545869068)	(9.0, 0.22981778995968608)	('>10', 3.2622387298727364)	('>50', 1.3935892011875626)	('>100', 4.160306911140211)	('>500', 2.2042463292093277)	('>1k', 5.909802553506916)	('>5k', 2.510238666597832)	('>10k+', 3.3097764595693926)
SRR10898065_2	(1.0, 60.528579751925136)	(2.0, 12.722884301989874)	(3.0, 3.149158997959706)	(4.0, 1.1865067644947598)	(5.0, 0.6157024617426305)	(6.0, 0.4496909357120441)	(7.0, 0.32821907050326504)	(8.0, 0.2684602882479981)	(9.0, 0.23695458911076003)	('>10', 3.273036846737303)	('>50', 1.4014715498924473)	('>100', 3.9899056481136204)	('>500', 2.0362311408719918)	('>1k', 5.069979577661073)	('>5k', 2.2085433696849117)	('>10k+', 2.534674705352536)
SRR10898066_1	(1.0, 61.80509501277513)	(2.0, 12.08518817559818)	(3.0, 2.86423908057989)	(4.0, 1.0550978529670658)	(5.0, 0.5786545551248962)	(6.0, 0.41440214684564447)	(7.0, 0.313846748785061)	(8.0, 0.29857284169033155)	(9.0, 0.23632531561177017)	('>10', 2.9976478019649626)	('>50', 1.2545058277393244)	('>100', 3.4536440495621683)	('>500', 1.9035771613647965)	('>1k', 5.134819539582328)	('>5k', 2.112789057105024)	('>10k+', 3.4915948327034894)
SRR10898066_2	(1.0, 64.87091905327836)	(2.0, 10.910011300356791)	(3.0, 2.6031085204380546)	(4.0, 0.9825530312115409)	(5.0, 0.5694556192321361)	(6.0, 0.42033466662121055)	(7.0, 0.3396206896467726)	(8.0, 0.21997737875882298)	(9.0, 0.22221088603723557)	('>10', 3.0335763874797306)	('>50', 1.2376983475528953)	('>100', 3.484129394232814)	('>500', 1.719120316965138)	('>1k', 4.668963813066559)	('>5k', 2.0209681088812075)	('>10k+', 2.6973524862408023)
SRR10898067_1	(1.0, 66.68554453108409)	(2.0, 11.02509458822379)	(3.0, 2.757291419775748)	(4.0, 1.0930440484141606)	(5.0, 0.6058883417560763)	(6.0, 0.39344627116902964)	(7.0, 0.31005913616194214)	(8.0, 0.2657534808537974)	(9.0, 0.21484854089602207)	('>10', 2.949533890044851)	('>50', 1.1357939570868967)	('>100', 3.04824943321363)	('>500', 1.8406210504009062)	('>1k', 4.73972087073178)	('>5k', 1.4742692671574542)	('>10k+', 1.460841173030043)
SRR10898067_2	(1.0, 69.43417634238054)	(2.0, 10.240050151853303)	(3.0, 2.455133687431817)	(4.0, 0.9416889190992156)	(5.0, 0.567386694117736)	(6.0, 0.40737275430089054)	(7.0, 0.3200268336006665)	(8.0, 0.257439115481303)	(9.0, 0.2327886006621483)	('>10', 2.870477707000018)	('>50', 1.1386014683708912)	('>100', 2.983301170370095)	('>500', 1.7112842089955247)	('>1k', 4.173870960162986)	('>5k', 1.1537238627815518)	('>10k+', 1.1126775233914032)
SRR10898068_1	(1.0, 60.22625229082805)	(2.0, 12.610547772158789)	(3.0, 3.071232699316976)	(4.0, 1.2086473158289393)	(5.0, 0.6313102757025856)	(6.0, 0.4324980589027796)	(7.0, 0.31818150496907244)	(8.0, 0.26859305953238444)	(9.0, 0.21793147285165915)	('>10', 3.0378045576620054)	('>50', 1.2421974770113757)	('>100', 3.7946326757660085)	('>500', 2.004905348122405)	('>1k', 5.4095817047357135)	('>5k', 2.0042655269892107)	('>10k+', 3.5214182596221013)
SRR10898068_2	(1.0, 63.51844801505633)	(2.0, 11.60243569482898)	(3.0, 2.655309092435039)	(4.0, 1.0593311599270314)	(5.0, 0.5774518639752169)	(6.0, 0.44997832439255486)	(7.0, 0.3166533418434923)	(8.0, 0.28588458114827714)	(9.0, 0.24152998021526664)	('>10', 3.029573878518178)	('>50', 1.2575266831911327)	('>100', 3.72231296738691)	('>500', 1.8224140275612488)	('>1k', 4.666867271753061)	('>5k', 1.9703597729178)	('>10k+', 2.8239233448497267)
