Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR076625_1	(1.0, 75.50600274363707)	(2.0, 16.89072297329379)	(3.0, 4.248173823958983)	(4.0, 1.307988598884496)	(5.0, 0.4159269962098806)	(6.0, 0.2100886010177683)	(7.0, 0.11611826742049373)	(8.0, 0.07512130661182635)	(9.0, 0.05812850096544027)	('>10', 0.6030639681510381)	('>50', 0.13427557497246032)	('>100', 0.17929910049153897)	('>500', 0.01468870670491824)	('>1k', 0.08677112424806671)	('>5k', 0.06634798826608256)	('>10k+', 0.08728172516617858)
DRR076625_2	(1.0, 79.16442826787599)	(2.0, 14.519251538656523)	(3.0, 3.5647032397989595)	(4.0, 1.079928024356753)	(5.0, 0.3691884944744451)	(6.0, 0.15817198560024726)	(7.0, 0.0791316479580807)	(8.0, 0.07416609783379903)	(9.0, 0.04612985445178654)	('>10', 0.5213023737314928)	('>50', 0.10181393908301371)	('>100', 0.15177246712852394)	('>500', 0.0059570174950239465)	('>1k', 0.057551387221975114)	('>5k', 0.044596067511882415)	('>10k+', 0.061907596821368316)
DRR076626_1	(1.0, 82.11394639464928)	(2.0, 13.248154066020449)	(3.0, 2.269314231852029)	(4.0, 0.4966806549625434)	(5.0, 0.17898160232924357)	(6.0, 0.11605071275602255)	(7.0, 0.09409186923578261)	(8.0, 0.07811837902470074)	(9.0, 0.06713790083792803)	('>10', 0.7728450730359204)	('>50', 0.14201359331012936)	('>100', 0.2007302157764016)	('>500', 0.012746583305931264)	('>1k', 0.06343029887616926)	('>5k', 0.05624888264817138)	('>10k+', 0.08950954137937084)
DRR076626_2	(1.0, 84.50234001545212)	(2.0, 11.673006228803578)	(3.0, 1.8580760345140401)	(4.0, 0.44501449177125374)	(5.0, 0.16109053695190229)	(6.0, 0.11612670723662362)	(7.0, 0.07612330643700786)	(8.0, 0.06614208409878553)	(9.0, 0.05414489887714971)	('>10', 0.6430164695210793)	('>50', 0.12537131018190717)	('>100', 0.12874729811764263)	('>500', 0.012840979959904353)	('>1k', 0.03702960833268431)	('>5k', 0.029538071131579167)	('>10k+', 0.07139195861276956)
DRR076627_1	(1.0, 81.07726409974525)	(2.0, 13.944665135551503)	(3.0, 2.4859513575992453)	(4.0, 0.5553989243441584)	(5.0, 0.18889869906813014)	(6.0, 0.11300105111204657)	(7.0, 0.0830460472045357)	(8.0, 0.07408143458746717)	(9.0, 0.0560921954478468)	('>10', 0.759676518162577)	('>50', 0.163658478715366)	('>100', 0.21283339239716606)	('>500', 0.028537062119144547)	('>1k', 0.08288197154568577)	('>5k', 0.11279431302538688)	('>10k+', 0.06121931937451329)
DRR076627_2	(1.0, 83.59808968966938)	(2.0, 12.199509948127773)	(3.0, 2.1184436898389456)	(4.0, 0.4789042432603776)	(5.0, 0.17705920285529128)	(6.0, 0.11610081081230102)	(7.0, 0.08111371008899236)	(8.0, 0.06913377637271224)	(9.0, 0.06315585809288271)	('>10', 0.6157741977071733)	('>50', 0.1379111150613889)	('>100', 0.1709194000916675)	('>500', 0.010915292258947669)	('>1k', 0.0462865102230193)	('>5k', 0.06931828191073701)	('>10k+', 0.04736427362835984)
DRR076628_1	(1.0, 82.21408824946373)	(2.0, 13.250105786807095)	(3.0, 2.1649333763727223)	(4.0, 0.4615942051063019)	(5.0, 0.19393365163697232)	(6.0, 0.13502626181243596)	(7.0, 0.09907239449350524)	(8.0, 0.08010145398562038)	(9.0, 0.061110122314977866)	('>10', 0.7242231288873926)	('>50', 0.15849081310773735)	('>100', 0.19484510133420738)	('>500', 0.021830496061416203)	('>1k', 0.08178084010044107)	('>5k', 0.07025761544897188)	('>10k+', 0.08860650306653285)
DRR076628_2	(1.0, 84.7098906432262)	(2.0, 11.528409135654398)	(3.0, 1.8214437854659264)	(4.0, 0.4310951958775622)	(5.0, 0.16912627773276778)	(6.0, 0.1251592154258527)	(7.0, 0.08314943533786362)	(8.0, 0.07417222112967986)	(9.0, 0.0571626998767509)	('>10', 0.5826394639330361)	('>50', 0.12119745028783306)	('>100', 0.17520978945608648)	('>500', 0.0068346487813964775)	('>1k', 0.04317758796103059)	('>5k', 0.01339414676490315)	('>10k+', 0.05793830308867319)
DRR076629_1	(1.0, 83.36320392914378)	(2.0, 12.50319992794763)	(3.0, 1.8503443073380765)	(4.0, 0.40285242065022836)	(5.0, 0.18803041548889793)	(6.0, 0.125086244576299)	(7.0, 0.09010964829853439)	(8.0, 0.0751310143475428)	(9.0, 0.05512515729733669)	('>10', 0.7601168764269978)	('>50', 0.16450140711362157)	('>100', 0.22469186088762785)	('>500', 0.013814680794874714)	('>1k', 0.09560221265504368)	('>5k', 0.07692037380619485)	('>10k+', 0.011269523227259748)
DRR076629_2	(1.0, 85.63931629372686)	(2.0, 10.979873086947382)	(3.0, 1.5415190224090778)	(4.0, 0.3550734470934574)	(5.0, 0.14910815668799954)	(6.0, 0.09712077021358019)	(7.0, 0.09015879627297045)	(8.0, 0.05312104837827135)	(9.0, 0.04913737834241628)	('>10', 0.6220273164880519)	('>50', 0.12219495898566596)	('>100', 0.17394847027071533)	('>500', 0.009980766033744745)	('>1k', 0.051665530977366945)	('>5k', 0.04670947278460487)	('>10k+', 0.01904548438790068)
